24,1
30,1
4,3
43,3
19,3
22,1
25,1
39,1
40,3
36,3
13,3
34,1
37,3
9,1
6,1
11,3
42,3
0,1
20,3
41,3
2,1
27,3
16,1
21,1
26,3
1,3
32,3
46,1
15,3
12,3
17,1
31,1
3,3
47,1
8,1
35,1
38,3
10,3
33,1
14,3
44,3
18,1
29,1
5,3
45,3
7,1
28,1
23,1
45,1
25,3
15,1
11,1
30,3
9,3
13,1
46,3
23,3
32,1
44,1
0,3
6,3
34,3
37,1
4,1
27,1
22,3
40,1
47,3
17,3
12,1
36,1
7,3
33,3
29,3
1,1
35,3
31,3
3,1
14,1
26,1
38,1
10,1
5,1
28,3
39,3
8,3
41,1
20,1
24,3
2,3
42,1
21,3
18,3
43,1
16,3
19,1
31,1
7,1
27,3
30,1
0,3
26,1
4,1
47,1
42,3
5,1
18,3
43,3
13,1
24,1
28,3
6,1
2,1
39,3
32,3
21,1
44,3
40,3
22,1
8,1
33,1
38,3
10,1
15,1
34,1
29,3
17,3
12,1
36,1
9,1
14,3
41,3
3,3
46,1
1,1
20,3
45,3
23,1
25,3
37,1
11,3
35,1
16,3
19,3
35,3
0,1
19,1
6,3
33,3
36,3
17,1
46,3
4,3
31,3
7,3
8,3
23,3
27,1
47,3
13,3
10,3
32,1
45,1
21,3
1,3
39,1
28,1
16,1
44,1
15,3
41,1
11,1
22,3
26,3
5,3
29,1
24,3
12,3
43,1
2,3
37,3
40,1
18,1
38,1
34,3
9,3
20,1
42,1
30,3
25,1
14,1
3,1
3,1
24,1
1,3
42,3
45,1
4,1
27,3
46,1
40,1
22,3
16,1
20,1
33,3
23,3
43,3
11,1
38,3
34,1
12,3
32,3
10,3
35,1
39,1
9,3
41,1
36,3
13,3
18,1
31,3
8,3
6,1
19,3
44,1
15,3
0,3
29,1
7,1
26,3
37,1
14,1
2,1
28,3
47,1
17,3
30,3
5,3
25,1
21,3
15,1
20,3
44,3
7,3
3,3
25,3
5,1
46,3
22,1
33,1
9,1
38,1
34,3
11,3
14,3
37,3
4,3
39,3
24,3
29,3
1,1
27,1
23,1
40,3
18,3
45,3
42,1
13,1
10,1
32,1
28,1
17,1
41,3
12,1
8,1
43,1
21,1
26,1
6,3
2,3
36,1
16,3
31,1
35,3
47,3
19,1
30,1
0,1
21,1
43,1
39,1
10,3
37,3
25,1
1,3
13,1
18,1
45,1
34,3
4,1
16,3
42,3
6,1
19,1
46,3
17,1
20,1
0,3
30,3
11,3
35,1
32,3
12,1
7,3
28,3
9,1
22,3
27,1
38,3
8,1
14,1
41,1
29,3
26,3
5,1
31,3
33,1
44,1
47,1
3,3
15,1
40,1
36,3
23,3
24,3
2,1
11,1
46,1
42,1
1,1
20,3
33,3
7,1
8,3
30,1
43,3
10,1
5,3
41,3
19,3
0,1
24,1
45,3
40,3
15,3
17,3
47,3
34,1
31,1
2,3
21,3
32,1
9,3
29,1
3,1
39,3
36,1
13,3
16,1
35,3
38,1
12,3
25,3
23,1
28,1
6,3
18,3
37,1
14,3
27,3
4,3
44,3
22,1
26,1
25,3
29,1
1,3
33,1
44,3
23,1
10,1
42,3
20,1
16,1
37,3
34,3
7,1
28,3
24,1
12,1
35,3
2,1
31,1
27,3
8,1
5,1
30,3
19,3
43,3
17,1
15,3
36,1
11,3
38,1
32,3
21,3
26,1
3,1
40,1
13,3
45,3
41,1
39,3
6,3
9,3
46,1
14,3
0,1
4,1
47,3
22,3
18,1
16,3
46,3
18,3
43,1
40,3
27,1
22,1
25,1
5,3
29,3
42,1
6,1
44,1
21,1
10,3
32,1
35,1
3,3
23,3
9,1
28,1
7,3
11,1
34,1
14,1
19,1
31,3
4,3
37,1
15,1
1,1
20,3
39,1
8,3
13,1
24,3
36,3
12,3
41,3
30,1
17,3
45,1
2,3
33,3
38,3
0,3
26,3
47,1
